customer_id,customer_name,industry,contract_value,logins_last_30_days,feature_adoption_rate,open_tickets,days_since_last_login,contract_renewal_days,ai_acceptance_rate,login_score,adoption_score,ticket_score,recency_score,ai_score,health_score,risk_level,recommended_action
C001,Jordan-Escobar,Telecom,150000,27,0.59,6,48,31,0.66,90.0,59.0,40,20.0,66.0,58.15,Needs Attention,Escalate open tickets to support lead | Send personalised check-in email | Urgent — flag for renewal discussion
C002,Ramirez-Brown,Railways,150000,6,0.28,7,16,247,0.28,20.0,28.0,30,73.33,28.0,33.2,At Risk,Offer product training session | Escalate open tickets to support lead | Review AI recommendation quality with R&D
C003,"Bray, Austin and Douglas",Water Utility,150000,8,0.95,0,3,167,0.69,26.67,95.0,100,95.0,69.0,75.02,Healthy,No action needed — schedule quarterly check-in
C004,Moyer and Sons,Railways,200000,7,0.64,5,20,47,0.99,23.33,64.0,50,66.67,99.0,56.68,Needs Attention,Urgent — flag for renewal discussion
C005,Wilson LLC,Railways,100000,11,0.73,7,24,239,0.31,36.67,73.0,30,60.0,31.0,47.07,At Risk,Escalate open tickets to support lead | Review AI recommendation quality with R&D
C006,Rivera-Kramer,Gas Utility,50000,1,0.89,4,54,60,0.61,3.33,89.0,60,10.0,61.0,45.73,At Risk,Schedule re-engagement call | Send personalised check-in email
C007,Martin LLC,Water Utility,150000,0,0.66,3,56,273,0.9,0.0,66.0,70,6.67,90.0,45.0,At Risk,Schedule re-engagement call | Send personalised check-in email
C008,Blair Group,Water Utility,75000,15,0.37,1,33,292,0.79,50.0,37.0,90,45.0,79.0,58.35,Needs Attention,Offer product training session | Send personalised check-in email
C009,Garcia LLC,Water Utility,150000,22,0.19,5,24,36,0.76,73.33,19.0,50,60.0,76.0,53.48,Needs Attention,Offer product training session | Urgent — flag for renewal discussion
C010,"Armstrong, Torres and Hernandez",Railways,75000,22,0.51,5,52,235,0.76,73.33,51.0,50,13.33,76.0,54.48,Needs Attention,Send personalised check-in email
C011,Flores-Perez,Telecom,75000,29,0.3,0,11,286,0.49,96.67,30.0,100,81.67,49.0,71.27,Needs Attention,Offer product training session
C012,Fisher-Wagner,Water Utility,150000,23,0.47,8,49,295,0.43,76.67,47.0,20,18.33,43.0,44.12,At Risk,Escalate open tickets to support lead | Send personalised check-in email
C013,"Romero, Davidson and Jimenez",Railways,200000,4,0.89,5,8,106,0.85,13.33,89.0,50,86.67,85.0,61.33,Needs Attention,Schedule re-engagement call
C014,Hebert-Arnold,Gas Utility,75000,2,0.39,2,36,293,0.85,6.67,39.0,80,40.0,85.0,46.17,At Risk,Schedule re-engagement call | Offer product training session | Send personalised check-in email
C015,Ward Group,Telecom,75000,11,0.21,3,38,326,0.89,36.67,21.0,70,36.67,89.0,47.27,At Risk,Offer product training session | Send personalised check-in email
C016,"Nguyen, Garcia and Hodge",Gas Utility,150000,7,0.42,3,40,313,0.93,23.33,42.0,70,33.33,93.0,49.28,At Risk,Send personalised check-in email
C017,Cameron-Giles,Telecom,75000,21,0.92,2,20,156,0.61,70.0,92.0,80,66.67,61.0,75.65,Healthy,No action needed — schedule quarterly check-in
C018,Bowen-Mclaughlin,Railways,75000,26,0.34,9,35,13,0.6,86.67,34.0,10,41.67,60.0,47.42,At Risk,Offer product training session | Escalate open tickets to support lead | Send personalised check-in email | Urgent — flag for renewal discussion
C019,"Thompson, Phillips and Fuentes",Electric Utility,150000,2,0.68,2,48,44,0.84,6.67,68.0,80,20.0,84.0,50.27,Needs Attention,Schedule re-engagement call | Send personalised check-in email | Urgent — flag for renewal discussion
C020,"Evans, Stephens and Christensen",Telecom,150000,0,0.1,2,25,201,0.72,0.0,10.0,80,58.33,72.0,38.05,At Risk,Schedule re-engagement call | Offer product training session
C021,Martinez Ltd,Gas Utility,50000,2,0.42,3,35,58,0.76,6.67,42.0,70,41.67,76.0,43.82,At Risk,Schedule re-engagement call | Send personalised check-in email | Urgent — flag for renewal discussion
C022,Sanders and Sons,Railways,200000,4,0.37,6,25,26,0.84,13.33,37.0,40,58.33,84.0,41.93,At Risk,Schedule re-engagement call | Offer product training session | Escalate open tickets to support lead | Urgent — flag for renewal discussion
C023,Porter Ltd,Telecom,200000,14,0.25,3,29,181,0.91,46.67,25.0,70,51.67,91.0,53.32,Needs Attention,Offer product training session
C024,"Knox, Mcdaniel and Hamilton",Electric Utility,75000,13,0.58,8,18,229,0.47,43.33,58.0,20,70.0,47.0,46.88,At Risk,Escalate open tickets to support lead
C025,Bartlett and Sons,Electric Utility,200000,2,0.54,0,46,167,0.5,6.67,54.0,100,23.33,50.0,46.17,At Risk,Schedule re-engagement call | Send personalised check-in email
C026,Wright and Sons,Water Utility,75000,0,0.72,7,18,55,0.28,0.0,72.0,30,70.0,28.0,38.7,At Risk,Schedule re-engagement call | Escalate open tickets to support lead | Review AI recommendation quality with R&D | Urgent — flag for renewal discussion
C027,Krueger-Harvey,Water Utility,50000,4,0.34,6,2,15,0.66,13.33,34.0,40,96.67,66.0,44.23,At Risk,Schedule re-engagement call | Offer product training session | Escalate open tickets to support lead | Urgent — flag for renewal discussion
C028,"Munoz, Strickland and Townsend",Gas Utility,150000,25,0.32,1,54,108,0.23,83.33,32.0,90,10.0,23.0,51.78,Needs Attention,Offer product training session | Send personalised check-in email | Review AI recommendation quality with R&D
C029,Ewing Inc,Telecom,150000,22,0.25,7,35,242,0.57,73.33,25.0,30,41.67,57.0,45.38,At Risk,Offer product training session | Escalate open tickets to support lead | Send personalised check-in email
C030,Velez-Hernandez,Telecom,150000,13,0.3,0,16,46,0.63,43.33,30.0,100,73.33,63.0,58.78,Needs Attention,Offer product training session | Urgent — flag for renewal discussion
C031,"Mcdaniel, Harris and Frazier",Water Utility,200000,6,0.6,8,41,289,0.43,20.0,60.0,20,31.67,43.0,35.2,At Risk,Escalate open tickets to support lead | Send personalised check-in email
C032,"Chambers, Cardenas and Gomez",Telecom,50000,26,0.46,8,36,358,0.67,86.67,46.0,20,40.0,67.0,53.22,Needs Attention,Escalate open tickets to support lead | Send personalised check-in email
C033,Pope PLC,Telecom,200000,8,0.16,1,33,311,0.22,26.67,16.0,90,45.0,22.0,38.72,At Risk,Offer product training session | Send personalised check-in email | Review AI recommendation quality with R&D
C034,"Perez, Colon and Hamilton",Electric Utility,200000,14,0.33,6,4,190,0.23,46.67,33.0,40,93.33,23.0,45.37,At Risk,Offer product training session | Escalate open tickets to support lead | Review AI recommendation quality with R&D
C035,"Walker, Rodriguez and Duffy",Water Utility,50000,14,0.32,9,33,104,0.86,46.67,32.0,10,45.0,86.0,41.32,At Risk,Offer product training session | Escalate open tickets to support lead | Send personalised check-in email
C036,Foster-Bray,Railways,50000,25,0.73,2,14,108,0.49,83.33,73.0,80,76.67,49.0,73.93,Needs Attention,Monitor closely
C037,Ray-Bryan,Water Utility,50000,9,0.74,6,21,197,0.3,30.0,74.0,40,65.0,30.0,48.25,At Risk,Escalate open tickets to support lead | Review AI recommendation quality with R&D
C038,"Santos, Tran and Baker",Railways,50000,27,0.23,9,48,125,0.62,90.0,23.0,10,20.0,62.0,42.55,At Risk,Offer product training session | Escalate open tickets to support lead | Send personalised check-in email
C039,Fox-Drake,Electric Utility,150000,12,1.0,8,20,200,0.82,40.0,100.0,20,66.67,82.0,61.3,Needs Attention,Escalate open tickets to support lead
C040,Thomas and Sons,Gas Utility,100000,18,0.34,3,56,262,0.37,60.0,34.0,70,6.67,37.0,44.05,At Risk,Offer product training session | Send personalised check-in email | Review AI recommendation quality with R&D
C041,Lopez-Oliver,Telecom,100000,6,0.98,0,8,170,0.7,20.0,98.0,100,86.67,70.0,73.0,Needs Attention,Monitor closely
C042,"Scott, Michael and Marshall",Electric Utility,50000,16,0.47,1,7,265,0.27,53.33,47.0,90,88.33,27.0,60.38,Needs Attention,Review AI recommendation quality with R&D
C043,Mitchell-Martin,Telecom,100000,19,0.13,0,3,332,0.24,63.33,13.0,100,95.0,24.0,56.93,Needs Attention,Offer product training session | Review AI recommendation quality with R&D
C044,"Quinn, Ryan and Estes",Gas Utility,100000,28,0.41,4,17,137,0.63,93.33,41.0,60,71.67,63.0,65.78,Needs Attention,Monitor closely
C045,"Wilson, Nguyen and Coleman",Gas Utility,50000,3,0.67,4,33,27,0.63,10.0,67.0,60,45.0,63.0,47.45,At Risk,Schedule re-engagement call | Send personalised check-in email | Urgent — flag for renewal discussion
C046,Eaton PLC,Electric Utility,100000,29,0.71,6,48,290,0.71,96.67,71.0,40,20.0,71.0,63.57,Needs Attention,Escalate open tickets to support lead | Send personalised check-in email
C047,"Wolf, Cortez and Pope",Gas Utility,200000,4,0.58,8,12,232,0.78,13.33,58.0,20,80.0,78.0,45.53,At Risk,Schedule re-engagement call | Escalate open tickets to support lead
C048,Wallace-Oneill,Railways,75000,22,0.5,8,59,63,0.98,73.33,50.0,20,1.67,98.0,49.78,At Risk,Escalate open tickets to support lead | Send personalised check-in email
C049,Morris LLC,Gas Utility,75000,6,0.6,2,51,67,0.61,20.0,60.0,80,15.0,61.0,47.4,At Risk,Send personalised check-in email
C050,Schultz Group,Telecom,50000,12,0.63,2,22,332,0.46,40.0,63.0,80,63.33,46.0,58.15,Needs Attention,Monitor closely
